data_pregao,preco_fechamento
2023-01-02,8.12
2023-01-03,8.09
2023-01-04,8.15
2023-01-05,8.1
2023-01-06,8.06
2023-01-09,8.12
2023-01-10,8.15
2023-01-11,8.15
2023-01-12,8.19
2023-01-13,8.36
2023-01-16,8.16
2023-01-17,8.39
2023-01-18,8.54
2023-01-19,8.58
2023-01-20,8.43
2023-01-23,8.38
2023-01-24,8.49
2023-01-25,8.68
2023-01-26,8.69
2023-01-27,8.67
2023-01-30,8.71
2023-01-31,8.69
2023-02-01,8.68
2023-02-02,8.53
2023-02-03,8.28
2023-02-06,8.42
2023-02-07,8.33
2023-02-08,8.46
2023-02-09,8.29
2023-02-10,8.38
2023-02-13,8.43
2023-02-14,8.37
2023-02-15,8.42
2023-02-16,8.65
2023-02-17,8.59
2023-02-22,8.59
2023-02-23,8.58
2023-02-24,8.46
2023-02-27,8.54
2023-02-28,8.47
2023-03-01,8.49
2023-03-02,8.39
2023-03-03,8.5
2023-03-06,8.55
2023-03-07,8.5
2023-03-08,8.52
2023-03-09,8.63
2023-03-10,8.5
2023-03-13,8.39
2023-03-14,8.36
2023-03-15,8.4
2023-03-16,8.39
2023-03-17,8.33
2023-03-20,8.26
2023-03-21,8.4
2023-03-22,8.51
2023-03-23,8.64
2023-03-24,8.62
2023-03-27,8.73
2023-03-28,8.79
2023-03-29,8.79
2023-03-30,8.8
2023-03-31,8.8
2023-04-03,8.56
2023-04-04,8.78
2023-04-05,8.8
2023-04-06,9.06
2023-04-10,9.3
2023-04-11,9.49
2023-04-12,9.82
2023-04-13,9.9
2023-04-14,9.86
2023-04-17,9.94
2023-04-18,9.73
2023-04-19,9.7
2023-04-20,9.71
2023-04-24,9.79
2023-04-25,9.9
2023-04-26,9.99
2023-04-27,9.92
2023-04-28,9.46
2023-05-02,9.32
2023-05-03,9.42
2023-05-04,9.46
2023-05-05,9.57
2023-05-08,9.68
2023-05-09,9.7
2023-05-10,9.79
2023-05-11,9.96
2023-05-12,9.94
2023-05-15,9.76
2023-05-16,9.77
2023-05-17,9.85
2023-05-18,9.87
2023-05-19,9.92
2023-05-22,9.85
2023-05-23,9.92
2023-05-24,10.0
2023-05-25,10.17
2023-05-26,10.16
2023-05-29,10.28
2023-05-30,10.3
2023-05-31,10.24
2023-06-01,10.44
2023-06-02,10.45
2023-06-05,10.48
2023-06-06,10.36
2023-06-07,10.63
2023-06-09,10.81
2023-06-12,10.7
2023-06-13,10.54
2023-06-14,10.4
2023-06-15,10.25
2023-06-16,10.16
2023-06-19,10.18
2023-06-20,10.32
2023-06-21,10.4
2023-06-22,10.33
2023-06-23,10.38
2023-06-26,10.34
2023-06-27,10.35
2023-06-28,10.26
2023-06-29,10.32
2023-06-30,10.3
2023-07-03,10.34
2023-07-04,10.19
2023-07-05,10.25
2023-07-06,10.22
2023-07-07,10.24
2023-07-10,10.12
2023-07-11,10.08
2023-07-12,10.0
2023-07-13,10.15
2023-07-14,10.13
2023-07-17,10.3
2023-07-18,10.15
2023-07-19,10.08
2023-07-20,10.2
2023-07-21,10.3
2023-07-24,10.31
2023-07-25,10.3
2023-07-26,10.34
2023-07-27,10.51
2023-07-28,10.61
2023-07-31,10.79
2023-08-01,10.8
2023-08-02,10.85
2023-08-03,10.89
2023-08-04,10.73
2023-08-07,10.58
2023-08-08,10.51
2023-08-09,10.64
2023-08-10,10.74
2023-08-11,10.78
2023-08-14,10.72
2023-08-15,10.68
2023-08-16,10.52
2023-08-17,10.5
2023-08-18,10.48
2023-08-21,10.45
2023-08-22,10.52
2023-08-23,10.75
2023-08-24,10.51
2023-08-25,10.61
2023-08-28,10.67
2023-08-29,10.87
2023-08-30,10.87
2023-08-31,10.8
2023-09-01,11.15
2023-09-04,11.5
2023-09-05,11.1
2023-09-06,11.04
2023-09-08,11.11
2023-09-11,11.29
2023-09-12,11.34
2023-09-13,11.51
2023-09-14,11.41
2023-09-15,11.49
2023-09-18,11.42
2023-09-19,11.4
2023-09-20,11.48
2023-09-21,11.42
2023-09-22,11.17
2023-09-25,11.37
2023-09-26,11.15
2023-09-27,11.0
2023-09-28,11.27
2023-09-29,11.16
2023-10-02,11.14
2023-10-03,11.24
2023-10-04,11.16
2023-10-05,11.24
2023-10-06,11.24
2023-10-09,11.23
2023-10-10,11.27
2023-10-11,11.4
2023-10-13,11.35
2023-10-16,11.29
2023-10-17,11.22
2023-10-18,11.06
2023-10-19,11.38
2023-10-20,11.48
2023-10-23,11.48
2023-10-24,11.59
2023-10-25,10.96
2023-10-26,10.95
2023-10-27,10.95
2023-10-30,10.9
2023-10-31,10.82
2023-11-01,10.9
2023-11-03,11.02
2023-11-06,11.14
2023-11-07,11.18
2023-11-08,11.27
2023-11-09,11.25
2023-11-10,11.36
2023-11-13,11.44
2023-11-14,11.36
2023-11-16,11.24
2023-11-17,11.15
2023-11-23,50.970001220703125
2023-11-24,50.93000030517578
2023-11-24,50.93000030517578
2023-11-24,50.93000030517578
